Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor_anuncio,apenas_rua,Valor_anuncio_milhoes,valor_m2_imovel,rua,cep,latitude,longitude,Point,setor_censo,geometry
"Rua Aurelia Perez Alvarez, 42 ",Jardim dos Estados,São Paulo,496,4,4,4,3700000.0,rua aurelia perez alvarez,3.7,7459.677419354839,rua aurelia perez alvarez,4642020.0,-23.6409612,-46.6883114,POINT (-46.6883114 -23.6409612),355030871000023,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7882c550>]
Length: 1, dtype: geometry"
Rua Alba Valdez,Jardim Reimberg,São Paulo,125,4,3,2,380000.0,rua alba valdez,0.38,3040.0,rua alba valdez,4845200.0,-23.75299,-46.6958895,POINT (-46.6958895 -23.75299),355030830000050,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b798aef70>]
Length: 1, dtype: geometry"
Rua Graham Bell,Santo Amaro,São Paulo,440,4,4,6,1980000.0,rua graham bell,1.98,4500.0,rua graham bell,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b78a431f0>]
Length: 1, dtype: geometry"
"Rua Francisco Paulo, 31 ",Cidade Mãe do Céu,São Paulo,145,4,4,2,850000.0,rua francisco paulo,0.85,5862.068965517241,rua francisco paulo,3306050.0,-23.5222541,-46.5164525,POINT (-46.5164525 -23.5222541),355030859000013,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b78cddd30>]
Length: 1, dtype: geometry"
"Rua Guilherme Valente, 150 ",Jardim Vergueiro,São Paulo,150,2,2,2,450000.0,rua guilherme valente,0.45,3000.0,rua guilherme valente,5818280.0,-23.6647336,-46.7339399,POINT (-46.7339399 -23.6647336),355030846000047,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79127c10>]
Length: 1, dtype: geometry"
"Rua Sagrada Família, 8 ",Jardim Benfica,São Paulo,48,2,1,1,199900.0,rua sagrada família,0.1999,4164.583333333333,rua sagrada família,8140520.0,-23.5875122,-46.6115287,POINT (-46.6115287 -23.5875122),355030834000022,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7965f550>]
Length: 1, dtype: geometry"
Rua Tapaji,Vila Alpina,São Paulo,114,3,3,2,585000.0,rua tapaji,0.585,5131.578947368421,rua tapaji,3207050.0,-23.6004694,-46.5615172,POINT (-46.5615172 -23.6004694),355030893000075,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b96ae8df0>]
Length: 1, dtype: geometry"
"Rua Vigário João Álvares, 66 ",Vila Monumento,São Paulo,261,4,4,3,700000.0,rua vigário joão álvares,0.7,2681.992337164751,rua vigário joão álvares,1551040.0,-23.5757239,-46.6119322,POINT (-46.6119322 -23.5757239),355030834000071,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b796727f0>]
Length: 1, dtype: geometry"
"Rua Antônio Pereira Mendes, 98 ",Jardim Prudência,São Paulo,251,3,5,4,1700000.0,rua antônio pereira mendes,1.7,6772.908366533865,rua antônio pereira mendes,4648235.0,-23.654041,-46.6761882,POINT (-46.6761882 -23.654041),355030822000233,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79be7fd0>]
Length: 1, dtype: geometry"
"Rua João Antunes Carvalho, 75 ",Lauzane Paulista,São Paulo,300,4,5,4,1150000.0,rua joão antunes carvalho,1.15,3833.3333333333335,rua joão antunes carvalho,2435100.0,-23.481381,-46.6421852,POINT (-46.6421852 -23.481381),355030851000041,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b78f30310>]
Length: 1, dtype: geometry"
Rua Timbé,Jardim Santa Maria,São Paulo,135,3,3,2,550000.0,rua timbé,0.55,4074.074074074074,rua timbé,3576070.0,-23.5499099,-46.5079254,POINT (-46.5079254 -23.5499099),355030891000037,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b96a44b50>]
Length: 1, dtype: geometry"
Rua João Tauler,Vila Nova,São Paulo,180,4,2,4,420000.0,rua joão tauler,0.42,2333.333333333333,rua joão tauler,3288050.0,-23.592866,-46.5313273,POINT (-46.5313273 -23.592866),355030876000281,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b785ca670>]
Length: 1, dtype: geometry"
"Rua Alice Garcia Vega, 345 ",Itaberaba,São Paulo,300,3,5,4,2232000.0,rua alice garcia vega,2.232,7440.0,rua alice garcia vega,2737050.0,-23.4878801,-46.6896604,POINT (-46.6896604 -23.4878801),355030829000035,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b798ce0d0>]
Length: 1, dtype: geometry"
"Avenida Antônio Joaquim de Moura Andrade, 294 ",Vila Nova Conceição,São Paulo,605,3,3,4,4190000.0,avenida antônio joaquim de moura andrade,4.19,6925.619834710744,avenida antônio joaquim de moura andrade,4507000.0,-23.5857748,-46.6673831,POINT (-46.6673831 -23.5857748),355030832000034,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7972feb0>]
Length: 1, dtype: geometry"
"Rua Marcos Fernandes, 1039 ",Jardim da Saúde,São Paulo,110,3,2,5,860000.0,rua marcos fernandes,0.86,7818.181818181818,rua marcos fernandes,4149120.0,-23.618592,-46.6186559,POINT (-46.6186559 -23.618592),355030827000003,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b799d78b0>]
Length: 1, dtype: geometry"
"Rua José Leão dos Santos, 606 ",Jardim Santo Antônio,São Paulo,250,4,4,4,650000.0,rua josé leão dos santos,0.65,2600.0,rua josé leão dos santos,8032280.0,-23.5158179,-46.426801,POINT (-46.426801 -23.5158179),355030884000138,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b783714f0>]
Length: 1, dtype: geometry"
"Rua Jaime Pinto Ferreira, 93 ",Vila Mazzei,São Paulo,120,2,1,1,490000.0,rua jaime pinto ferreira,0.49,4083.3333333333335,rua jaime pinto ferreira,2308150.0,-23.4715716,-46.601844,POINT (-46.601844 -23.4715716),355030882000081,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7893ddf0>]
Length: 1, dtype: geometry"
Rua Aldo de Azevedo,Vila Madalena,São Paulo,170,2,2,1,1485000.0,rua aldo de azevedo,1.485,8735.29411764706,rua aldo de azevedo,5453030.0,-23.542917,-46.709165,POINT (-46.709165 -23.542917),355030802000006,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7a21de50>]
Length: 1, dtype: geometry"
"Rua Antônio Wey, 161 ",Jardim Ivana,São Paulo,250,3,1,5,650000.0,rua antônio wey,0.65,2600.0,rua antônio wey,5364110.0,-23.6130752,-46.5268805,POINT (-46.5268805 -23.6130752),355030872000176,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b787bb2b0>]
Length: 1, dtype: geometry"
"Rua João Francisco de Moura, 111 ",Vila Campo Grande,São Paulo,110,3,3,2,550000.0,rua joão francisco de moura,0.55,5000.0,rua joão francisco de moura,4455170.0,-23.6808561,-46.6783139,POINT (-46.6783139 -23.6808561),355030816000016,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79ef0310>]
Length: 1, dtype: geometry"
Rua Japeacaba,Vila Albertina,São Paulo,268,3,6,4,1700000.0,rua japeacaba,1.7,6343.2835820895525,rua japeacaba,2373050.0,-23.4540005,-46.6185781,POINT (-46.6185781 -23.4540005),355030881000047,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b784f6f10>]
Length: 1, dtype: geometry"
"Rua Domingos Menezes, 179 ",Vila Libanesa,São Paulo,320,5,4,6,890000.0,rua domingos menezes,0.89,2781.25,rua domingos menezes,3738060.0,-23.5064801,-46.5064568,POINT (-46.5064568 -23.5064801),355030818000068,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79d9a9d0>]
Length: 1, dtype: geometry"
Rua Manuel Monteiro,Cidade Domitila,São Paulo,180,3,3,4,550000.0,rua manuel monteiro,0.55,3055.555555555556,rua manuel monteiro,4387150.0,-23.664646,-46.6498621,POINT (-46.6498621 -23.664646),355030838000301,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b793d6370>]
Length: 1, dtype: geometry"
Rua Serra da Sentinela,Vila Nova Savoia,São Paulo,325,4,6,3,1650000.0,rua serra da sentinela,1.65,5076.923076923077,rua serra da sentinela,3531050.0,-23.5407586,-46.5191101,POINT (-46.5191101 -23.5407586),355030891000009,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b96a445b0>]
Length: 1, dtype: geometry"
Avenida Maria Estela,Jardim Maria Estela,São Paulo,110,2,1,1,445000.0,avenida maria estela,0.445,4045.4545454545455,avenida maria estela,4180010.0,-23.6367964,-46.5965325,POINT (-46.5965325 -23.6367964),355030868000021,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7899f5b0>]
Length: 1, dtype: geometry"
"Rua Professor Ciro Formicola, 203 ",Parque São Rafael,São Paulo,125,2,1,2,425000.0,rua professor ciro formicola,0.425,3400.0,rua professor ciro formicola,8311240.0,-23.6299494,-46.4702523,POINT (-46.4702523 -23.6299494),355030875000015,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b786ec610>]
Length: 1, dtype: geometry"
"Rua Elias Gannam, 53 ",Vila Bandeirantes,São Paulo,120,2,3,2,500000.0,rua elias gannam,0.5,4166.666666666667,rua elias gannam,2552040.0,-23.4975216,-46.6648798,POINT (-46.6648798 -23.4975216),355030850000059,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b78f748b0>]
Length: 1, dtype: geometry"
"Rua Zacarias de Gois, 431 ",Parque Colonial,São Paulo,138,3,1,3,1060000.0,rua zacarias de gois,1.06,7681.159420289855,rua zacarias de gois,4610000.0,-23.6303116,-46.6782013,POINT (-46.6782013 -23.6303116),355030815000045,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79f365b0>]
Length: 1, dtype: geometry"
Rua Gregório Paes de Almeida,Vila Madalena,São Paulo,401,5,9,4,3890000.0,rua gregório paes de almeida,3.89,9700.74812967581,rua gregório paes de almeida,5450000.0,-23.5472107,-46.707677,POINT (-46.707677 -23.5472107),355030802000001,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7a21dc70>]
Length: 1, dtype: geometry"
Avenida das Magnólias,Cidade Jardim,São Paulo,420,4,4,4,2200000.0,avenida das magnólias,2.2,5238.095238095239,avenida das magnólias,5674000.0,-23.5931626,-46.6964356,POINT (-46.6964356 -23.5931626),355030854000128,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b78e11370>]
Length: 1, dtype: geometry"
Rua Mata Machado,Vila Califórnia,São Paulo,260,4,4,4,1250000.0,rua mata machado,1.25,4807.692307692308,rua mata machado,3215000.0,-23.6082946,-46.5576237,POINT (-46.5576237 -23.6082946),355030893000137,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6bd2a47790>]
Length: 1, dtype: geometry"
Rua Alfonso de Albuquerque,Jardim das Imbuias,São Paulo,200,3,5,3,1250000.0,rua alfonso de albuquerque,1.25,6250.0,rua alfonso de albuquerque,4829290.0,-23.7293118,-46.7102256,POINT (-46.7102256 -23.7293118),355030823000091,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79b5f550>]
Length: 1, dtype: geometry"
"Rua Vicente Góes e Aranha, 587 ",Vila Tramontano,São Paulo,463,4,6,6,2200000.0,rua vicente góes e aranha,2.2,4751.619870410367,rua vicente góes e aranha,5691010.0,-23.6154794,-46.708266,POINT (-46.708266 -23.6154794),355030854000052,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b78e6d670>]
Length: 1, dtype: geometry"
Rua Lauro Luchesi,Jardim Leonor Mendes de Barros,São Paulo,300,4,4,3,1600000.0,rua lauro luchesi,1.6,5333.333333333333,rua lauro luchesi,2348090.0,-23.4604115,-46.6140698,POINT (-46.6140698 -23.4604115),355030881000248,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b78461bb0>]
Length: 1, dtype: geometry"
"Rua Artur Montenegro, 9",Jardim Iva,São Paulo,250,2,2,2,370000.0,rua artur montenegro,0.37,1480.0,rua artur montenegro,3921050.0,-23.5908256,-46.5179523,POINT (-46.5179523 -23.5908256),355030876000216,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7893d970>]
Length: 1, dtype: geometry"
"Avenida Dom Rodrigo Sanches, 828 ",Jardim Amália,São Paulo,120,2,2,1,130000.0,avenida dom rodrigo sanches,0.13,1083.3333333333333,avenida dom rodrigo sanches,5892360.0,-23.6612086,-46.7868272,POINT (-46.7868272 -23.6612086),355030819000263,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79cd0850>]
Length: 1, dtype: geometry"
"Rua Domingos de Braga, 7 ",Vila dos Remédios,São Paulo,110,3,3,2,545000.0,rua domingos de braga,0.545,4954.545454545455,rua domingos de braga,5102090.0,-23.517394,-46.7504171,POINT (-46.7504171 -23.517394),355030840000032,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b79351df0>]
Length: 1, dtype: geometry"
"Rua Comendador Armando Pereira, 309 ",Tremembé,São Paulo,151,3,3,8,520000.0,rua comendador armando pereira,0.52,3443.708609271523,rua comendador armando pereira,2357090.0,-23.6482869,-46.6401001,POINT (-46.6401001 -23.6482869),355030838000027,"<GeometryArray>
[<shapely.geometry.polygon.Polygon object at 0x7f6b7945fc10>]
Length: 1, dtype: geometry"
